Item,Qty,Reference(s),Value,Footprint,Digikey,Comment,
1,5,"C1, C2, C4, C5, C6",0.1u,Capacitor_SMD:C_1206_3216Metric,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
2,1,C3,0.3nF,Capacitor_SMD:C_1206_3216Metric,,https://www.amazon.com/gp/product/B06XDHC93D/,
3,1,C7,0.1uF,Capacitor_SMD:C_1206_3216Metric,,,
4,1,C8,0.33uF,Capacitor_SMD:C_1206_3216Metric,,,
5,1,D1,1N4148TR,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1N4148TR,,
6,1,JP1,MCU Volts,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
7,1,JP2,RX Select,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
8,1,JP3,TX Select,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
9,1,P1,Controls,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical,,https://www.amazon.com/gp/product/B09P3W4VBQ,
10,1,P2,LCD Display,Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
11,1,P3,SPI,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
12,1,P5,Nextion,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,Vertical,https://www.amazon.com/gp/product/B0791DJMW10
13,1,P6,I2C,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,Horizontal ,https://www.ebay.com/itm/292219710596
14,1,P7,VolHi Input,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
15,1,P8,Oscillators,PinHeader_1x18_P2.54mm_Horizontal,,,
16,1,P9,PTT,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
17,1,R1,10k,Resistor_SMD:R_1206_3216Metric,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
18,1,R2,1K,Resistor_SMD:R_1206_3216Metric,,https://www.amazon.com/gp/product/B07G4YJCNC,
19,1,R3,4.7k,Resistor_SMD:R_1206_3216Metric,,,
20,2,"R13, R14",2.2k,Resistor_SMD:R_1206_3216Metric,,,
21,1,RV1,10k,Potentiometer_THT:Potentiometer_Vishay_T73YP_Vertical,,https://www.amazon.com/gp/product/B082ZVSR8K/,
22,1,U1,Arduino_Nano_v3.x,"Arduino_Nano Family (Nano,Every,IOT,BLE, RP2040) upside-down soldered - usb on bottom",,,
23,1,U2,Si5351A-B-GT,Package_SO:MSOP-10_3x3mm_P0.5mm,336-2399-5-ND,,
24,1,U3,LM358DR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,LM358DR2G,,
25,1,U4,CAT24C256,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,CAT24C256WI-GT3,,
26,1,U5,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,,https://www.amazon.com/gp/product/B01MSE2R8C,
27,1,Y1,25M,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,644-1041-2-ND,,
