Item,Qty,Reference(s),Value,Description,Digikey,Comment,
1,6,"C1, C2, C4, C5, C6, C11",0.1u,Capacitor_SMD:C_1206_3216Metric,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
2,1,C3,0.3nF,Capacitor_SMD:C_1206_3216Metric,,https://www.amazon.com/gp/product/B06XDHC93D/,
3,1,C7,0.33uF,Capacitor_SMD:C_1206_3216Metric,,,
4,1,C8,0.1uF,Capacitor_SMD:C_1206_3216Metric,,,
5,1,C9,1uf,Capacitor_SMD:C_1206_3216Metric,,,
6,1,C10,10uf,Capacitor_SMD:C_1206_3216Metric,,,
7,1,D1,1N4148TR,Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal,1N4148TR,,
8,1,J1,LCD DISPLAY,Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
9,1,JP1,MCU Volts,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
10,1,JP2,RX Select,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
11,1,JP3,TX Select,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,
12,1,P1,Controls,Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical-reversed,,https://www.amazon.com/gp/product/B09P3W4VBQ,
13,1,P2,Power,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
14,1,P3,Oscillators,PinHeader_x18_P2.54mm_Horizontal,,,
15,1,P5,Nextion,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
16,1,P6,I2C,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,Vertical,https://www.amazon.com/gp/product/B0791DJMW10
17,1,P7,VolHi Input,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,Horizontal ,https://www.ebay.com/itm/292219710596
18,1,P8,SPI,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,,
19,1,P9,PTT,Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,
20,1,R1,10k,Resistor_SMD:R_1206_3216Metric,,"Purchase a ""kit""  from Amazon, eBay, AliExpress",
21,1,R2,1K,Resistor_SMD:R_1206_3216Metric,,https://www.amazon.com/gp/product/B07G4YJCNC,
22,1,R3,4.7k,Resistor_SMD:R_1206_3216Metric,,,
23,1,R4,22R,Resistor_SMD:R_1206_3216Metric,,,
24,2,"R13, R14",2.2k,Resistor_SMD:R_1206_3216Metric,,,
25,1,U1,LM7805_TO220,Package_TO_SOT_THT:TO-220-3_Vertical,,https://www.amazon.com/gp/product/B01MSE2R8C,
26,1,U2,Si5351A-B-GT,Package_SO:MSOP-10_3x3mm_P0.5mm,336-2399-5-ND,,
27,1,U3,LM358DR,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,LM358DR2G,,
28,1,U4,CAT24C256,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,CAT24C256WI-GT3,,
29,1,U5,Arduino_Nano_Family,"Nano: Nano V3.0, Every, IOT, BLE, RP2040",,,
30,1,Y1,25M,Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm,644-1041-2-ND,,
