"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C5,C6,C8,C11","7","0.1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C3","1","0.3nF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C7","1","0.33u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C9","1","1uf","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C10","1","10uf","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1","1","1N4148","","","","MyLibrary:tht_SMD_Diode","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf"
"J1","1","LCD DISPLAY","","","","Connector_PinSocket_2.54mm:PinSocket_1x14_P2.54mm_Vertical","~"
"J2","1","TX Polarity Sel","","","","Connector_PinHeader_1.00mm:PinHeader_2x03_P1.00mm_Vertical","~"
"P1","1","Controls","","","","MyLibrary:Molex_KK-254_AE-6410-08A_1x08_P2.54mm_Vertical-reversed","~"
"P2","1","Power","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"P3","1","Oscillators","","","","MyLibrary:PinHeadere_1x18_P2.54mm_Horizontal","~"
"P4","1","TX/RX","","","","Connector_JST:JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical","~"
"P5","1","Nextion","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"P7","1","VolHi Input","","","","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
"R1","1","10k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2","1","1K","","","","Resistor_SMD:R_1206_3216Metric","~"
"R3","1","4.7k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R4","1","22","","","","Resistor_SMD:R_1206_3216Metric","~"
"R5","1","1k","","","","Resistor_SMD:R_1206_3216Metric","~"
"R6","1","10k","","","","MyLibrary:resistor-tht-1206smd-combo","~"
"R13,R14","2","2.2k","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","LM7805_TO220","","","","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
"U2","1","Si5351A-B-GT","","","","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.silabs.com/documents/public/data-sheets/Si5351-B.pdf"
"U3","1","LM358DR","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U4","1","CAT24C256","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.onsemi.cn/PowerSolutions/document/CAT24C256-D.PDF"
"U5","1","Pico","","","","MyLibrary:RPi_Pico_TH_SMD_defined",""
"U6","1","LTV-817S","","","","Package_DIP:SMDIP-4_W9.53mm","http://www.us.liteon.com/downloads/LTV-817-827-847.PDF"
"Y1","1","25M","","","","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~"
